156.89	812
157.40	14
158.05	1064
158.60	2
160.89	980
162.49	908
165.92	848
166.58	836
167.40	26
180.07	1076
197.75	14
198.65	2
209.28	158
212.10	14
234.35	26
39.61	759
41.81	795
44.07	783
44.38	615
44.59	747
45.65	627
45.97	771
46.00	603
46.53	555
46.58	75
46.66	651
46.96	543
47.05	15
47.58	87
48.10	591
48.47	675
48.58	687
49.03	639
49.59	699
50.16	579
50.17	735
50.20	147
51.10	243
51.17	567
51.17	711
51.64	723
52.35	663
52.45	807
53.18	27
56.48	195
57.92	465
61.55	309
63.38	381
66.79	345
66.84	333
67.25	525
69.93	297
71.05	441
74.25	537
75.04	501
76.28	159
78.29	273
80.41	369
82.74	489
84.94	285
84.98	135
85.26	357
86.58	231
90.30	3
91.19	453
96.51	477
100.92	393
101.48	183
101.53	513
103.84	321
106.08	207
110.33	147
112.95	99
114.84	1029
125.94	885
132.18	981
134.00	825
138.06	1005
140.15	921
142.01	837
143.40	27
144.26	945
147.18	1041
149.12	861
150.83	933
151.65	1077
152.23	993
153.32	1017
153.80	1065
154.24	969
156.57	849
157.61	909
158.45	813
159.21	1053
162.37	957
162.65	897
163.14	873
163.90	147
173.30	3
180.30	159
180.38	135
186.75	27
235.43	15
40.36	700
41.88	736
42.01	676
43.68	556
44.14	724
44.18	16
44.62	640
45.53	604
46.00	760
46.05	100
46.18	664
46.36	628
46.46	748
47.58	688
47.93	772
48.20	196
48.48	160
48.53	712
49.01	808
49.06	580
49.23	592
49.30	136
49.86	616
50.46	784
50.72	568
50.77	652
51.21	544
51.50	184
51.78	148
53.23	4
54.01	334
54.85	796
61.68	28
62.38	514
66.04	538
66.10	394
69.33	358
70.40	322
71.97	286
73.33	244
76.02	274
79.69	490
81.79	382
83.38	346
85.75	454
88.06	310
90.74	502
94.18	220
95.82	466
97.06	298
98.14	442
98.43	370
100.20	232
101.80	526
102.13	28
103.56	478
110.03	172
110.08	148
112.13	256
112.18	88
113.38	100
114.03	208
115.13	76
127.43	4
135.90	958
139.33	148
141.93	994
144.97	862
145.30	934
146.05	826
146.42	874
146.67	1054
146.70	16
148.56	1030
150.70	886
150.85	970
151.76	814
153.30	4
154.57	1078
154.88	982
156.23	898
156.92	910
157.08	838
158.88	160
159.30	1066
159.43	1006
159.98	850
162.23	28
162.24	946
168.04	1042
169.22	922
169.48	136
174.32	1018
185.45	28
199.20	4
208.55	136
222.65	16
234.90	136
43.40	569
43.75	641
44.46	593
44.63	29
44.86	737
45.00	101
45.34	677
45.37	665
45.57	605
45.80	797
46.02	701
46.19	545
46.35	557
46.54	785
47.00	5
47.46	749
48.43	809
48.52	629
48.84	773
49.13	725
49.28	161
49.97	689
50.00	17
50.13	617
50.31	761
50.86	581
50.97	713
52.16	653
55.72	323
58.05	149
59.49	347
63.80	539
69.47	395
69.68	275
69.93	17
70.36	503
77.56	479
80.15	233
81.84	371
82.12	467
83.32	359
83.54	491
83.66	299
84.48	527
84.88	335
85.37	383
86.20	455
88.64	287
88.87	515
91.10	17
93.70	221
93.85	197
95.47	311
96.98	185
98.63	245
100.86	443
109.98	149
110.53	161
110.83	173
119.64	815
126.23	29
128.93	887
132.92	1055
138.35	1067
138.81	995
139.89	923
143.59	1007
146.79	863
147.56	839
148.90	29
149.20	971
150.57	911
151.57	947
152.40	161
153.31	899
154.16	959
154.71	935
155.28	827
157.98	1043
158.00	17
160.68	149
161.55	137
162.19	983
165.58	1079
167.01	851
167.28	1031
168.79	1019
171.76	875
174.48	5
186.90	5
208.48	161
209.30	149
234.75	161
41.58	726
44.33	654
45.06	558
45.17	630
45.29	642
45.31	798
45.64	618
45.74	678
45.83	18
46.01	738
46.03	702
46.71	582
46.83	90
46.90	546
47.14	786
47.32	606
47.45	78
47.49	594
47.55	102
48.41	690
48.43	6
48.65	750
48.94	666
49.46	570
49.59	774
50.03	150
51.85	762
51.93	30
52.13	714
57.10	234
57.65	312
59.43	222
63.14	324
63.61	276
69.76	288
71.69	504
73.47	372
78.95	480
78.96	360
79.51	300
80.64	396
82.26	336
83.04	384
84.25	348
86.23	516
88.73	528
88.91	444
90.15	456
91.75	210
94.92	468
96.80	246
101.70	174
101.70	186
104.22	492
109.15	150
109.20	198
112.08	90
114.10	6
119.19	852
131.76	1056
136.89	828
137.43	960
137.73	18
138.85	150
143.69	816
145.03	6
145.49	876
148.02	972
148.07	1068
148.34	1044
148.97	984
149.48	840
149.58	996
150.78	948
151.15	30
151.16	924
154.86	912
156.05	162
156.43	936
158.45	888
